epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788178490,15933026304,1331200,0,0,62996480,74977280,67710976,70819840,65167360,70242304,69402624,72065024
1788178492,15743434752,1331200,0,0,62992384,74977280,67776512,70819840,65130496,70242304,69488640,72065024
1788178494,15680004096,1331200,0,0,63000576,74977280,67776512,70819840,65187840,70242304,69398528,72065024
1788178495,15679422464,1331200,0,0,62930944,74977280,67768320,70819840,65122304,70242304,69332992,72065024
1788178497,15686955008,1331200,0,0,62930944,74977280,67760128,70819840,65122304,70242304,69398528,72065024
1788178499,15710613504,1331200,0,0,62926848,74977280,67764224,70819840,65343488,70242304,69337088,72065024
1788178500,15690616832,1331200,0,0,62930944,74977280,67760128,70819840,65130496,70242304,69382144,72065024
1788178502,15703965696,1331200,0,0,62930944,74977280,67768320,70819840,65126400,70242304,69390336,72065024
1788178504,15705034752,1331200,0,0,63008768,74977280,67710976,70819840,65167360,70242304,69378048,72065024
1788178505,15705440256,1331200,0,0,62930944,74977280,67706880,70819840,65155072,70242304,69382144,72065024
1788178507,15713980416,1331200,0,0,62984192,74977280,67706880,70819840,65171456,70242304,69324800,72065024
1788178509,15725985792,1331200,0,0,62930944,74977280,67764224,70819840,65122304,70242304,69390336,72065024
1788178510,15729864704,1331200,0,0,62976000,74977280,67751936,70819840,65179648,70242304,69328896,72065024
1788178512,15685251072,1331200,0,0,62918656,74977280,68009984,72282112,65167360,70242304,69382144,72065024
1788178514,15693004800,1331200,0,0,62926848,74977280,67760128,72282112,65138688,70242304,69373952,72065024
1788178515,15697948672,1331200,0,0,62926848,74977280,67710976,72282112,65167360,70242304,69332992,72065024
1788178517,15672606720,1331200,0,0,62971904,74977280,67887104,72282112,65179648,70242304,69386240,72065024
1788178518,15696154624,1331200,0,0,62976000,74977280,67698688,72282112,65122304,70242304,69332992,72065024
1788178520,15677841408,1331200,0,0,62980096,74977280,67710976,72282112,65122304,70242304,69332992,72065024
