epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788153651,4623966208,274432,12568920064,15032385536,46555136,48046080,45182976,46620672,45166592,46661632,45199360,46616576
1788153652,3784904704,274432,13352390656,15032385536,46628864,48050176,45219840,46620672,45195264,46661632,45195264,46620672
1788153654,2892877824,114708480,14105268224,15032385536,46620672,48168960,45150208,46620672,45182976,46661632,45199360,46669824
1788153656,3137097728,113922048,13624078336,15032385536,46616576,48168960,45285376,46723072,45182976,46661632,45182976,46669824
1788153658,3895271424,110252032,12885233664,15032385536,46637056,48377856,45158400,46723072,45170688,46661632,45273088,46977024
1788153661,3816693760,108679168,12885700608,15032385536,46608384,48377856,45137920,46723072,45240320,46661632,45178880,46977024
1788153663,3912888320,108679168,12885626880,15032385536,46620672,48414720,45232128,46723072,45125632,46661632,45129728,46977024
1788153665,3927224320,108417024,12885557248,15032385536,46567424,48414720,45182976,46723072,45391872,46661632,45129728,46977024
1788153668,3971616768,108154880,12897247232,15032385536,46559232,48414720,45174784,46723072,45191168,46739456,45191168,46977024
1788153670,3911761920,108154880,12885893120,15032385536,46620672,48414720,45182976,46870528,45187072,46739456,45121536,46977024
1788153672,3890020352,108154880,12885712896,15032385536,46559232,48414720,45150208,46870528,45178880,46739456,45121536,46977024
1788153675,3929939968,108154880,12885958656,15032385536,46669824,48414720,45207552,46870528,45182976,46739456,45187072,46977024
1788153677,3870265344,108154880,12885958656,15032385536,46600192,48414720,45187072,46870528,45355008,46739456,45199360,46977024
1788153679,3863842816,108154880,12885946368,15032385536,46604288,48414720,45125632,46870528,45129728,46739456,45129728,46977024
1788153681,3900280832,108154880,12885942272,15032385536,46563328,48414720,45129728,46870528,45178880,46739456,45182976,46977024
1788153684,3891183616,108154880,12885716992,15032385536,46710784,48414720,45125632,46870528,45264896,46739456,45187072,46977024
1788153686,3919200256,108154880,12885921792,15032385536,46706688,48414720,45191168,46870528,45174784,46739456,45142016,46977024
1788153688,3876761600,108154880,12885651456,15032385536,46563328,48414720,45441024,46870528,45129728,46739456,45191168,46977024
1788153691,3932672000,108154880,12885921792,15032385536,46555136,48414720,45195264,46870528,45129728,46739456,45187072,46977024
1788153693,3919425536,108154880,12898320384,15032385536,46612480,48414720,45301760,46870528,45174784,46739456,45191168,46977024
1788153696,3796754432,108154880,12885655552,15032385536,46673920,48414720,45166592,46870528,45170688,46739456,45182976,46977024
1788153698,3897032704,108154880,12896493568,15032385536,46694400,48414720,45195264,46870528,45363200,46739456,45133824,46977024
1788153700,3809095680,108154880,13002014720,15032385536,46759936,48414720,45191168,46870528,45359104,46891008,45129728,46977024
1788153702,3754733568,108154880,12996042752,15032385536,46567424,48414720,45293568,46870528,45359104,46891008,45301760,46977024
1788153705,3827417088,107630592,12897390592,15032385536,46555136,48414720,45121536,46870528,45232128,46891008,45129728,47026176
1788153707,3844956160,106319872,12898136064,15032385536,46743552,48414720,45289472,46870528,45178880,46891008,45305856,47026176
1788153709,3814764544,105795584,12897927168,15032385536,46862336,48414720,45133824,46870528,45178880,46891008,45187072,47026176
1788153711,3854188544,103960576,12898512896,15032385536,46690304,48414720,45174784,46870528,45178880,46891008,45203456,47026176
1788153713,3855499264,103698432,12898664448,15032385536,46567424,48414720,45436928,46870528,45203456,46891008,45121536,47026176
1788153715,3885379584,103698432,12898664448,15032385536,46563328,48414720,45121536,46870528,45449216,46911488,45461504,47026176
1788153717,3924770816,103698432,12898779136,15032385536,46612480,48414720,45187072,46870528,45326336,46911488,45182976,47026176
1788153719,3976855552,103698432,12899586048,15032385536,46555136,48414720,45150208,46870528,45481984,46972928,45187072,47026176
1788153721,3929149440,103436288,12898967552,15032385536,46608384,48414720,45211648,46870528,45207552,46972928,45129728,47026176
1788153723,3924930560,101339136,12900524032,15032385536,46866432,48414720,45178880,46870528,45133824,46972928,45174784,47026176
1788153725,4041777152,100552704,12823048192,15032385536,46641152,48414720,45436928,46870528,45133824,46972928,45125632,47026176
1788153727,4699582464,99504128,12123242496,15032385536,46682112,48414720,45178880,46870528,45121536,46972928,45248512,47026176
1788153729,4719575040,99504128,12123451392,15032385536,46563328,48414720,45330432,46870528,45297664,46972928,45191168,47026176
1788153732,4760809472,99504128,12123242496,15032385536,46669824,48414720,45178880,46870528,45129728,46972928,45129728,47026176
1788153734,4627824640,99504128,12350361600,15032385536,46616576,48414720,45129728,46870528,45133824,46972928,45178880,47026176
1788153736,4624400384,98717696,12239351808,15032385536,46690304,48414720,45178880,46870528,45191168,46972928,45182976,47026176
1788153738,4569591808,98717696,12427988992,15032385536,46710784,48414720,45133824,46870528,45129728,46972928,45150208,47026176
1788153740,4488249344,98717696,12283613184,15032385536,46563328,48414720,45154304,46870528,45174784,46972928,45182976,47026176
1788153742,4519489536,98717696,12323368960,15032385536,46600192,48414720,45178880,46870528,45174784,46972928,45129728,47026176
1788153743,4469190656,98717696,12264206336,15032385536,46616576,48414720,45125632,46870528,45174784,49324032,45133824,47026176
1788153745,4652670976,98717696,12168060928,15032385536,46620672,48414720,45187072,46870528,45125632,49324032,45187072,47026176
1788153748,4643835904,97144832,12124516352,15032385536,46608384,48414720,45285376,46870528,45166592,49324032,45285376,47026176
1788153750,4599857152,97144832,12124282880,15032385536,46559232,48414720,45178880,46870528,45166592,49324032,45129728,47026176
1788153752,4599271424,97144832,12124229632,15032385536,46608384,48414720,45191168,46870528,45125632,49324032,45125632,47026176
1788153754,4420956160,97144832,12219236352,15032385536,46579712,48414720,45170688,46870528,45121536,49324032,45182976,47026176
1788153757,4562755584,97144832,12244996096,15032385536,46645248,48414720,45203456,46870528,45187072,49324032,45125632,47026176
1788153759,4473122816,97144832,12123922432,15032385536,46608384,48414720,45174784,46870528,45178880,49324032,45170688,47026176
1788153761,4475092992,96882688,12323131392,15032385536,46551040,48414720,45125632,46870528,45121536,49324032,45277184,47026176
1788153763,4255875072,96620544,12231495680,15032385536,46612480,48414720,45211648,46870528,45121536,49324032,45297664,47026176
1788153766,4427882496,96620544,12124229632,15032385536,46616576,48414720,45182976,46870528,45273088,49324032,45178880,47026176
1788153768,4438691840,96620544,12188536832,15032385536,46559232,48414720,45137920,46870528,45187072,49324032,45268992,47026176
