epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788152608,12959354880,0,4518199296,5388509184,45252608,46424064,45432832,47017984,45355008,46837760,45322240,46923776
1788152610,12032159744,0,5339447296,5388509184,45273088,46489600,45355008,47017984,45420544,46837760,45400064,46923776
1788152612,10228846592,0,7016525824,7232741376,45346816,46514176,45338624,47017984,45350912,46837760,45375488,46923776
1788152613,8501329920,0,7924924416,8231038976,45195264,46678016,45277184,47017984,45506560,46837760,45375488,46923776
1788152616,8701190144,0,8036790272,8258777088,45207552,46678016,45285376,47017984,45498368,46837760,45383680,46923776
1788152618,8740274176,0,8253894656,8258777088,45264896,46735360,45346816,47017984,45400064,46837760,45346816,46923776
1788152620,8601010176,0,8206499840,8355524608,45195264,46780416,45400064,47017984,45465600,46837760,45649920,47128576
1788152623,8709468160,0,8231542784,8355524608,45633536,46985216,45338624,47017984,45350912,46837760,45371392,47128576
1788152625,8717692928,0,8267857920,8494723072,45203456,46985216,45342720,47017984,45350912,46850048,45383680,47128576
1788152627,8657432576,0,8297349120,8494723072,45199360,46985216,45359104,47026176,45408256,46882816,45387776,47128576
1788152629,8802787328,0,8285458432,8494723072,45207552,46985216,45412352,47026176,45355008,46882816,45383680,47128576
1788152631,8885182464,0,8253526016,8494723072,45252608,46985216,45338624,47026176,45383680,47083520,45330432,47128576
1788152634,8972156928,0,8206278656,8494723072,45367296,46985216,45342720,47026176,45404160,47140864,45477888,47128576
1788152636,8851296256,0,8319574016,8494723072,45195264,46985216,45285376,47026176,45342720,47140864,45387776,47128576
1788152638,8983425024,0,8303120384,8494723072,45203456,46985216,45334528,47026176,45432832,47140864,45379584,47128576
1788152640,8912273408,0,8251666432,8494723072,45355008,46985216,45334528,47026176,45355008,47140864,45420544,47128576
1788152643,8932622336,0,8249479168,8494723072,45199360,46985216,45379584,47026176,45641728,47157248,45379584,47128576
1788152645,8871170048,0,8364220416,8494723072,45256704,46985216,45457408,47026176,45600768,47157248,45379584,47128576
1788152647,8827588608,0,8261812224,8494723072,45244416,46985216,45395968,47026176,45367296,47157248,45330432,47128576
1788152650,8878874624,0,8369319936,8494723072,45371392,47005696,45424640,47026176,45355008,47157248,45326336,47128576
1788152652,9029599232,0,8135241728,8494723072,45400064,47005696,45338624,47026176,45481984,47157248,45330432,47128576
1788152654,8719491072,0,8389570560,8717443072,45195264,47005696,45289472,47026176,45350912,47157248,45383680,47128576
1788152656,7974264832,0,9104130048,9370312704,45256704,47005696,45424640,47026176,45432832,47157248,45326336,47128576
1788152658,8538771456,0,8528560128,9370312704,45350912,47005696,45547520,47026176,45408256,47157248,45391872,47128576
1788152661,8690720768,0,8386752512,9370312704,45199360,47005696,45330432,47026176,45436928,47157248,45334528,47128576
1788152663,8749244416,0,8424185856,9370312704,45342720,47005696,45383680,47026176,45367296,47157248,45375488,47128576
