timestamp,monotonic_s,container_memory_bytes,container_memory_peak_bytes,container_anon_bytes,container_file_bytes,container_swap_bytes,container_swap_peak_bytes,host_mem_available_bytes,host_swap_total_bytes,host_swap_used_bytes,pids_current,cpu_usage_usec,cpu_user_usec,cpu_system_usec,oom_events,oom_kill_events
2026-08-31T02:31:20.691115+00:00,0.000,37076992,39174144,35385344,12288,0,0,15988183040,25769799680,0,5,1112435,1011659,100775,0,0
2026-08-31T02:31:21.692034+00:00,1.001,199806976,200052736,174436352,17563648,0,0,15802114048,25769799680,0,16,2405148,2171866,233282,0,0
2026-08-31T02:31:22.692993+00:00,2.002,252239872,252354560,224874496,17563648,0,0,15752888320,25769799680,0,17,3429460,3084095,345364,0,0
2026-08-31T02:31:23.693938+00:00,3.003,292311040,292311040,262467584,17567744,0,0,15707320320,25769799680,0,17,4518190,3961418,556771,0,0
2026-08-31T02:31:24.694766+00:00,4.004,356163584,356339712,324456448,17588224,0,0,15649763328,25769799680,0,17,5855323,5173532,681791,0,0
2026-08-31T02:31:25.695722+00:00,5.005,399216640,399216640,363741184,17592320,0,0,15610392576,25769799680,0,17,6854529,6076872,777657,0,0
2026-08-31T02:31:26.696596+00:00,6.006,416518144,416518144,380334080,17604608,0,0,15594496000,25769799680,0,17,7852799,6983822,868977,0,0
2026-08-31T02:31:27.697490+00:00,7.007,544993280,544993280,507936768,17625088,0,0,15461371904,25769799680,0,22,9106319,8125631,980688,0,0
2026-08-31T02:31:28.698406+00:00,8.008,974987264,974987264,937160704,17625088,0,0,15024091136,25769799680,0,22,10107997,8871496,1236501,0,0
2026-08-31T02:31:29.699367+00:00,9.009,882376704,1261215744,844337152,17625088,0,0,14747488256,25769799680,0,22,10878641,9008972,1869669,0,0
2026-08-31T02:31:30.700526+00:00,10.010,909717504,1261215744,866340864,21282816,0,0,14773907456,25769799680,0,42,12397582,10472131,1925450,0,0
2026-08-31T02:31:31.701447+00:00,11.011,1098043392,1261215744,1054216192,21295104,0,0,14930587648,25769799680,0,42,12817074,10696931,2120143,0,0
2026-08-31T02:31:32.702318+00:00,12.012,1409277952,1409482752,1077780480,289615872,0,0,14747181056,25769799680,0,43,13665967,11137270,2528697,0,0
2026-08-31T02:31:33.703308+00:00,13.013,1767587840,1767587840,1328001024,404635648,0,0,14587162624,25769799680,0,43,14624633,11634580,2990052,0,0
2026-08-31T02:31:34.704450+00:00,14.014,1931988992,2095345664,1054150656,831369216,0,0,14731812864,25769799680,0,33,15364707,11790063,3574643,0,0
2026-08-31T02:31:35.705540+00:00,15.015,1997828096,2095345664,1106739200,831401984,0,0,14673903616,25769799680,0,38,15696260,12049116,3647144,0,0
2026-08-31T02:31:36.706846+00:00,16.016,2220662784,2268512256,1152024576,1015095296,0,0,14639517696,25769799680,0,38,16404608,12311811,4092796,0,0
2026-08-31T02:31:37.708125+00:00,17.017,2328559616,2328817664,1227456512,1046237184,0,0,14562631680,25769799680,0,36,16721503,12575831,4145671,0,0
2026-08-31T02:31:38.709534+00:00,18.019,2392133632,2392133632,1259823104,1076224000,0,0,14575411200,25769799680,0,36,16925861,12681467,4244393,0,0
