epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788178546,15707025408,1331200,0,0,68644864,70426624,62431232,70664192,69038080,76722176,44232704,53682176
1788178548,15403827200,1331200,0,0,68763648,72601600,62443520,70664192,69099520,76722176,67059712,72196096
1788178550,15324102656,1331200,0,0,68751360,72712192,62455808,70664192,69169152,76722176,67026944,72196096
1788178551,15298932736,1331200,0,0,68636672,72712192,62660608,70664192,69111808,76722176,67010560,72196096
1788178553,15320043520,1331200,0,0,68583424,72712192,62447616,70664192,69087232,76722176,67035136,72196096
1788178555,15352098816,1331200,0,0,68755456,72843264,62550016,70664192,69099520,76722176,67018752,72196096
1788178556,15353446400,1331200,0,0,68632576,72843264,62541824,70664192,69091328,76722176,66908160,72196096
1788178558,15318450176,1331200,0,0,68640768,72843264,62447616,70664192,69181440,76722176,67047424,72196096
1788178559,15292514304,1331200,0,0,68726784,72843264,62464000,70664192,69038080,76722176,66994176,72196096
1788178561,15296491520,1331200,0,0,68657152,72843264,62435328,70664192,69087232,76722176,67084288,72196096
1788178563,15311912960,1331200,0,0,68653056,72843264,62447616,70664192,69033984,76722176,66973696,72196096
1788178565,15341359104,1331200,0,0,68751360,72843264,62550016,70664192,69283840,76722176,66904064,72196096
1788178566,15318806528,1331200,0,0,68644864,72843264,62377984,70664192,69099520,76722176,66920448,72196096
1788178568,15302569984,1331200,0,0,68640768,72843264,62529536,70664192,69214208,76722176,66904064,72196096
1788178569,15343263744,1331200,0,0,68653056,72843264,62439424,70664192,69087232,76722176,67014656,72196096
1788178571,15323664384,1331200,0,0,68669440,72843264,62611456,70664192,69275648,76722176,66932736,72196096
1788178573,15322271744,1331200,0,0,68714496,72843264,62541824,70664192,69103616,76722176,66899968,72196096
1788178574,15294214144,1331200,0,0,68718592,72843264,62509056,70664192,69107712,76722176,66932736,72196096
1788178576,15249772544,1331200,0,0,62652416,72843264,62808064,70664192,69201920,76722176,66842624,72196096
