epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788178546,15707557888,1331200,0,0,61042688,66109440,64778240,66625536,68239360,71806976,42106880,46829568
1788178548,15403032576,1331200,0,0,61054976,66109440,64741376,66625536,68182016,71806976,68472832,73592832
1788178550,15324102656,1331200,0,0,61235200,66109440,64778240,69148672,68120576,71806976,68493312,73592832
1788178551,15298932736,1331200,0,0,61140992,66109440,64991232,69148672,68218880,71835648,68456448,73592832
1788178553,15320043520,1331200,0,0,61227008,66109440,64864256,69148672,68235264,71835648,68444160,73592832
1788178555,15352098816,1331200,0,0,61095936,66109440,64901120,69148672,68100096,71835648,68366336,73592832
1788178556,15353446400,1331200,0,0,61161472,66109440,64860160,69152768,68227072,71913472,68292608,73592832
1788178558,15318450176,1331200,0,0,61095936,66109440,64905216,69152768,68296704,71913472,68599808,73592832
1788178559,15292514304,1331200,0,0,61095936,66109440,64782336,69152768,68108288,71913472,68431872,73592832
1788178561,15296491520,1331200,0,0,61046784,66109440,64892928,69152768,68108288,71913472,68513792,73592832
1788178563,15311912960,1331200,0,0,61112320,66109440,64745472,69152768,68202496,72134656,68374528,73592832
1788178565,15341359104,1331200,0,0,61235200,66109440,64778240,69152768,68235264,74407936,68341760,73592832
1788178566,15318806528,1331200,0,0,61054976,66109440,64737280,69152768,68055040,74407936,68333568,73592832
1788178568,15302569984,1331200,0,0,61095936,66109440,64897024,69152768,68239360,74407936,68288512,73592832
1788178569,15343263744,1331200,0,0,61050880,66109440,64888832,69152768,68169728,74407936,68292608,73592832
1788178571,15323664384,1331200,0,0,61091840,66109440,64876544,69152768,68239360,74407936,68481024,73592832
1788178573,15322271744,1331200,0,0,61087744,66109440,64790528,69152768,68059136,74407936,68292608,73592832
1788178574,15294214144,1331200,0,0,61100032,66109440,64868352,69152768,68046848,74407936,68288512,73592832
1788178576,15249772544,1331200,0,0,61104128,66109440,64958464,69152768,68112384,74407936,68341760,73592832
