epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788152811,7707762688,0,9750949888,11482517504,45174784,46440448,45125632,46612480,45170688,46379008,45187072,46333952
1788152813,6291685376,0,11231277056,11482517504,45178880,46604288,45252608,46616576,45182976,46608384,45195264,46465024
1788152815,5527859200,0,11417493504,12365643776,45121536,46604288,45142016,46686208,45432832,46608384,45187072,46465024
1788152817,6305267712,0,10665545728,12365643776,45170688,46645248,45285376,46981120,45174784,46968832,45207552,46714880
1788152819,6407565312,0,10693820416,12365643776,45105152,46645248,45129728,46981120,45162496,46968832,45125632,46714880
1788152821,6448918528,0,10668183552,12365643776,45191168,46854144,45137920,46981120,45375488,46968832,45273088,46714880
1788152823,6438035456,0,10693832704,12365643776,45174784,46854144,45125632,46981120,45117440,46968832,45125632,46714880
1788152825,6482624512,0,10683670528,12365643776,45191168,46854144,45174784,46981120,45166592,46968832,45326336,46866432
1788152828,6485569536,0,10673299456,12365643776,45150208,46895104,45178880,46981120,45187072,46968832,45182976,46866432
1788152830,6481190912,0,10666041344,12365643776,45117440,46895104,45170688,46981120,45166592,46968832,45187072,46866432
1788152832,6544220160,0,10668187648,12365643776,45109248,46895104,45187072,46981120,45228032,46968832,45158400,46866432
1788152834,6503612416,0,10728030208,12365643776,45166592,46895104,45187072,46981120,45125632,46968832,45170688,46866432
1788152836,6520246272,0,10693787648,12365643776,45109248,46895104,45129728,46981120,45195264,46968832,45174784,46903296
1788152839,6608932864,0,10611818496,12365643776,45404160,46895104,45129728,46981120,45289472,46968832,45125632,46903296
1788152841,6631882752,0,10685313024,12365643776,45121536,46907392,45174784,46981120,45187072,46968832,45178880,46903296
1788152843,6591623168,0,10625216512,12365643776,45158400,46907392,45383680,46981120,45113344,46968832,45170688,46903296
1788152845,6513831936,0,10694033408,12365643776,45174784,46907392,45129728,46981120,45256704,46968832,45223936,46903296
1788152847,6527553536,0,10662572032,12365643776,45146112,46907392,45133824,46981120,45121536,46968832,45211648,46903296
1788152850,6521991168,0,10701529088,12365643776,45113344,46907392,45137920,46981120,45195264,46968832,45182976,46903296
1788152852,6542163968,0,10624319488,12365643776,45158400,46907392,45436928,46981120,45236224,46968832,45121536,46903296
1788152854,6517415936,0,10701545472,12365643776,45232128,46907392,45162496,46981120,45174784,46968832,45441024,46903296
1788152856,6545043456,0,10651750400,12365643776,45166592,46907392,45203456,46981120,45174784,46968832,45121536,46977024
1788152858,6551814144,0,10651926528,12365643776,45166592,46907392,45219840,46981120,45121536,46968832,45240320,46977024
1788152860,6560772096,0,10651824128,12365643776,45174784,46907392,45150208,46981120,45170688,46968832,45142016,46977024
1788152862,6607204352,0,10660077568,12365643776,45187072,46907392,45125632,46981120,45166592,46968832,45133824,46977024
1788152864,6606639104,0,10660143104,12365643776,45203456,46907392,45187072,46981120,45121536,49545216,45117440,46977024
1788152866,6623842304,0,10660237312,12365643776,45170688,46907392,45199360,46981120,45514752,49545216,45125632,46977024
1788152868,6611980288,0,10726350848,12365643776,45162496,46907392,45187072,46981120,45170688,49545216,45170688,46977024
1788152870,6306525184,0,10748481536,12365643776,45174784,46907392,45178880,46981120,45187072,49545216,45125632,46977024
1788152872,6450106368,0,10893066240,12365643776,45170688,46907392,45199360,46981120,45117440,49545216,45178880,46977024
1788152874,6435614720,0,10820812800,12365643776,45166592,46907392,45174784,46981120,45174784,49545216,45174784,46977024
1788152876,6499217408,0,10819125248,12365643776,45166592,46907392,45182976,46981120,45305856,49545216,45121536,46977024
1788152878,6508224512,0,11103956992,12365643776,45166592,46907392,45178880,46981120,45289472,49545216,45293568,46977024
1788152880,6198808576,0,11037343744,12365643776,45187072,46907392,45383680,46981120,45113344,49545216,45174784,46977024
1788152883,6450368512,0,10944868352,12365643776,45166592,46907392,45178880,46981120,45174784,49545216,45178880,46977024
1788152885,6482432000,0,10840891392,12365643776,45170688,46907392,45117440,46981120,45203456,49545216,45133824,46977024
1788152887,6482178048,0,10871767040,12365643776,45109248,46907392,45125632,46981120,45117440,49545216,45170688,46977024
1788152889,6450839552,0,10848628736,12365643776,45498368,46907392,45178880,46981120,45166592,49545216,45121536,46977024
1788152891,6488092672,0,10822750208,12365643776,45174784,46907392,45268992,46981120,45174784,49545216,45129728,46977024
1788152893,6422183936,0,10869989376,12365643776,45170688,46907392,45178880,46981120,45277184,49545216,45162496,46977024
1788152895,6441267200,0,10872274944,12365643776,45166592,46907392,45281280,46981120,45117440,49545216,45129728,46977024
1788152898,6468399104,0,10869850112,12365643776,45113344,46907392,45129728,46981120,45174784,49545216,45285376,46977024
1788152899,6453006336,0,10833965056,12365643776,45158400,46907392,45268992,46981120,45170688,49545216,45121536,46977024
1788152901,6448533504,0,10822176768,12365643776,45170688,46907392,45182976,46981120,45166592,49545216,45129728,46977024
1788152904,6435577856,0,10821971968,12365643776,45166592,46907392,45178880,46981120,45158400,49545216,45191168,46977024
1788152906,6453358592,0,10822209536,12365643776,45268992,46907392,45150208,46981120,45166592,49545216,45129728,46977024
1788152908,6405976064,0,10962268160,12365643776,45117440,46907392,45174784,46981120,45162496,49545216,45260800,46977024
1788152910,6363308032,0,11047596032,12365643776,45449216,46907392,45129728,46981120,45162496,49545216,45121536,46977024
1788152912,6339784704,0,11050733568,12365643776,45121536,46907392,45121536,46981120,45117440,49545216,45256704,46977024
1788152915,6322905088,0,11011112960,12365643776,45277184,46907392,45187072,46981120,45117440,49545216,45129728,46977024
1788152917,6312849408,0,11100590080,12365643776,45211648,46907392,45178880,46981120,45109248,49545216,45137920,46977024
1788152919,6163697664,0,11093282816,12365643776,45371392,46907392,45199360,46981120,45174784,49545216,45129728,46977024
1788152921,6015791104,0,11105538048,12365643776,45191168,46907392,45182976,46981120,45240320,49545216,45199360,46977024
1788152924,6084222976,0,11268374528,12365643776,45203456,46907392,45129728,46981120,45174784,49545216,45125632,46977024
1788152926,6073012224,0,11272110080,12365643776,45371392,46907392,45129728,46981120,45158400,49545216,45178880,46977024
1788152928,6065774592,0,11289370624,12365643776,45162496,46907392,45379584,46981120,45125632,49545216,45121536,46977024
1788152930,5946888192,0,11310329856,12365643776,45420544,46907392,45178880,46981120,45121536,49545216,45252608,46977024
1788152933,5669306368,0,11580882944,12365643776,45109248,46907392,45129728,46981120,45244416,49545216,45121536,46981120
1788152935,5888466944,0,11600941056,12365643776,45178880,46907392,45174784,46981120,45166592,49545216,45256704,46981120
1788152937,5834989568,0,11594100736,12365643776,45117440,46907392,45166592,46981120,45109248,49545216,45121536,46981120
1788152939,5734707200,0,11562799104,12365643776,45162496,46907392,45129728,46981120,45113344,49545216,45117440,46981120
1788152942,5662220288,0,11570761728,12365643776,45162496,46907392,45129728,46981120,45109248,49545216,45178880,46981120
1788152944,5839589376,0,11740110848,12365643776,45166592,46907392,45195264,46981120,45166592,49545216,45191168,46981120
1788152946,5849640960,0,11720790016,12365643776,45105152,46907392,45121536,46981120,45117440,49545216,45121536,46981120
1788152948,5710716928,0,11803049984,12365643776,45187072,46960640,45125632,46981120,45117440,49545216,45191168,46981120
1788152951,5752995840,0,11726987264,12365643776,45240320,46960640,45125632,46981120,45109248,49545216,45379584,46981120
1788152953,5656281088,0,11695648768,12365643776,45170688,46960640,45187072,46981120,45129728,49545216,45170688,46981120
1788152955,5695381504,0,11745976320,12365643776,45121536,46960640,45125632,46981120,45109248,49545216,45170688,46981120
1788152957,5725327360,0,11668860928,12365643776,45182976,46960640,45174784,46981120,45166592,49545216,45117440,46981120
1788152960,5761187840,0,11709624320,12365643776,45281280,46960640,45129728,46981120,45166592,49545216,45178880,46981120
1788152962,5735669760,0,11643932672,12365643776,45166592,46960640,45182976,46981120,45187072,49545216,45178880,46981120
1788152964,5573185536,0,11487932416,12365643776,45158400,46960640,45178880,46981120,45178880,49545216,45187072,46981120
1788152967,5607976960,0,11633242112,12365643776,45109248,46960640,45121536,46981120,45137920,49545216,45129728,46981120
1788152969,5729587200,0,11575037952,12365643776,45109248,46960640,45178880,46981120,45109248,49545216,45252608,46981120
1788152971,5649113088,0,11672084480,12365643776,45109248,46960640,45117440,46981120,45232128,49545216,45170688,46981120
1788152974,5704458240,0,11765592064,12365643776,45240320,46968832,45150208,46981120,45228032,49545216,45264896,46981120
1788152976,5493841920,0,11512774656,12365643776,45203456,46968832,45129728,46981120,45109248,49545216,45281280,46981120
1788152978,5544140800,0,11713822720,12365643776,45432832,46968832,45125632,46981120,45113344,49545216,45129728,46981120
1788152981,5700026368,0,11438419968,12365643776,45170688,46968832,45178880,46981120,45117440,49545216,45178880,46981120
1788152983,5504724992,0,11499728896,12365643776,45113344,46968832,45170688,46981120,45170688,49545216,45121536,46981120
1788152985,5450104832,0,11885309952,12365643776,45178880,46968832,45334528,46981120,45113344,49545216,45207552,46981120
1788152987,5642366976,0,11535151104,12365643776,45121536,46968832,45117440,46981120,45174784,49545216,45117440,46981120
1788152990,5579292672,0,11802976256,12365643776,45170688,46968832,45166592,46981120,45121536,49545216,45191168,46981120
1788152992,5494726656,0,11539468288,12365643776,45170688,46968832,45121536,46981120,45248512,49545216,45174784,46981120
1788152994,5615529984,0,11880079360,12365643776,45117440,49303552,45260800,46981120,45260800,49545216,45129728,46981120
1788152997,5408788480,0,11801755648,12365643776,45158400,49303552,45281280,46981120,45113344,49545216,45178880,46981120
1788152999,5280026624,0,11899400192,12365643776,45105152,49303552,45174784,46981120,45244416,49545216,45170688,46981120
1788153001,5252861952,0,12042936320,12365643776,45113344,49303552,45125632,46981120,45113344,49545216,45178880,46981120
1788153003,6031572992,0,11235287040,12365643776,45117440,49303552,45125632,46981120,45125632,49545216,45182976,46981120
1788153005,6444609536,0,10660405248,12365643776,54042624,56287232,54059008,55578624,45465600,49545216,54185984,56360960
1788153007,6489325568,0,10659860480,12365643776,54038528,56287232,54042624,55578624,54050816,55472128,54116352,56360960
1788153009,6523445248,0,10659909632,12365643776,54034432,56287232,54157312,55578624,54161408,55472128,54071296,56360960
1788153010,6550585344,0,10659872768,12365643776,53989376,56287232,54005760,55578624,54050816,55734272,54112256,56360960
1788153012,6540656640,0,10659921920,12365643776,53985280,56287232,54054912,55578624,53997568,55734272,54112256,56360960
1788153014,6531538944,0,10659860480,12365643776,53989376,56287232,53997568,55578624,53989376,55734272,54116352,56360960
1788153016,6528196608,0,10659864576,12365643776,54030336,56287232,53993472,55578624,54059008,55734272,54116352,56360960
1788153017,6507802624,0,10659856384,12365643776,54038528,56287232,54059008,55582720,54050816,55734272,54124544,56360960
1788153019,6558703616,0,10659926016,12365643776,53989376,56287232,54054912,55582720,54050816,55734272,54067200,56360960
1788153021,6523887616,0,10659921920,12365643776,54038528,56287232,54005760,55582720,54046720,55734272,54063104,56360960
1788153023,6552875008,0,10659950592,12365643776,53981184,56287232,54161408,55590912,54046720,55734272,54116352,56360960
1788153024,6542168064,0,10659954688,12365643776,54185984,56287232,53989376,55590912,54075392,55734272,54116352,56360960
1788153026,6555275264,0,10659946496,12365643776,54185984,56287232,53997568,55590912,54063104,55734272,54120448,56360960
1788153028,6549630976,0,10659950592,12365643776,54038528,56287232,54059008,55590912,54038528,55734272,54120448,56360960
1788153030,6552186880,0,10660044800,12365643776,53985280,56287232,53997568,55590912,53997568,55734272,54071296,56360960
1788153032,6580916224,0,10659913728,12365643776,54038528,56287232,54046720,55590912,54050816,55734272,54063104,56360960
1788153033,6626516992,0,10659954688,12365643776,54034432,56287232,54067200,55611392,54042624,55734272,54054912,56360960
1788153035,6719778816,0,10659897344,12365643776,0,0,0,0,54038528,55734272,53784576,OCI runtime exec failed: exec failed: unable to start container process: read init-p: connection reset by peer: unknown
0
