epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788153835,5049929728,96620544,12031528960,15032385536,45137920,46460928,45187072,46395392,45191168,46620672,45129728,46358528
1788153837,2801856512,96620544,14075392000,15032385536,45260800,46501888,45133824,46686208,45211648,46624768,45203456,46469120
1788153839,2979221504,96620544,13709197312,15032385536,45150208,46501888,45182976,46686208,45191168,46624768,45187072,46727168
1788153841,4600799232,95834112,12052381696,15032385536,45137920,46940160,45158400,46686208,45133824,46731264,45301760,46727168
1788153843,4644577280,95834112,12052828160,15032385536,45174784,46940160,45264896,46870528,45133824,46731264,45191168,46972928
1788153845,4709085184,95834112,12083761152,15032385536,45187072,46940160,45129728,46870528,45187072,46735360,45191168,46972928
1788153847,4759760896,95834112,12052271104,15032385536,45142016,46952448,45178880,46870528,45285376,46735360,45191168,46972928
1788153849,4673613824,95834112,12054638592,15032385536,45137920,46952448,45121536,46870528,45187072,46804992,45137920,46972928
1788153852,4719505408,95834112,12052316160,15032385536,45445120,46952448,45232128,46870528,45191168,46804992,45162496,46972928
1788153854,4762435584,95834112,12052291584,15032385536,45150208,46952448,45121536,46870528,45133824,46804992,45137920,46972928
1788153856,4711231488,95834112,12052426752,15032385536,45465600,46952448,45174784,46870528,45187072,46804992,45268992,46972928
1788153858,4665597952,95834112,12052340736,15032385536,45195264,46952448,45285376,46972928,45199360,46923776,45133824,46972928
1788153860,4713897984,95834112,12052533248,15032385536,45150208,46952448,45187072,46972928,45129728,46923776,45125632,46972928
1788153863,4818763776,95834112,12106493952,15032385536,45203456,46952448,45182976,46972928,45178880,46923776,45244416,46972928
1788153865,4762218496,95834112,12052447232,15032385536,45219840,46952448,45133824,46972928,45187072,46923776,45129728,46972928
1788153867,4749987840,95834112,12052537344,15032385536,45191168,46952448,45187072,46972928,45191168,46981120,45182976,46972928
1788153869,4736753664,95834112,12052287488,15032385536,45187072,46952448,45203456,46972928,45125632,46981120,45142016,46972928
1788153871,4658458624,95834112,12131209216,15032385536,45195264,46952448,45133824,46972928,45129728,46981120,45133824,46972928
1788153873,4772843520,95834112,12052279296,15032385536,45203456,49037312,45268992,46972928,45203456,46981120,45125632,46972928
1788153875,4711694336,95834112,12106182656,15032385536,45215744,49037312,45142016,46972928,45142016,46981120,45309952,49700864
1788153877,4775907328,95834112,12052627456,15032385536,45187072,49037312,45318144,46972928,45133824,46981120,45187072,49700864
1788153879,4776214528,95834112,12052975616,15032385536,45248512,49037312,45301760,46972928,45187072,46981120,45137920,49700864
1788153881,4792729600,95834112,12053061632,15032385536,45191168,49037312,45387776,46972928,45191168,46981120,45191168,49700864
1788153883,4830351360,95834112,12055166976,15032385536,45137920,49037312,45207552,46972928,45199360,46981120,45588480,49700864
1788153885,4740489216,95834112,12120055808,15032385536,45142016,49037312,45187072,46972928,45187072,46981120,45178880,49700864
1788153887,4747124736,95834112,12120203264,15032385536,45137920,49037312,45125632,46972928,45129728,46981120,45195264,49700864
1788153889,4759379968,95834112,12120047616,15032385536,45187072,49037312,45187072,46972928,45182976,46981120,45334528,49700864
1788153892,4758130688,95834112,12143349760,15032385536,45277184,49037312,45215744,46972928,45137920,46981120,45137920,49700864
1788153894,4732100608,95834112,12193202176,15032385536,45195264,49037312,45191168,46972928,45191168,46981120,45178880,49700864
1788153896,4670296064,95834112,12261830656,15032385536,45424640,49037312,45182976,46972928,45137920,46981120,45129728,49700864
1788153898,4603465728,95834112,12309467136,15032385536,45187072,49037312,45158400,46972928,45285376,46981120,45268992,49700864
1788153900,4593889280,95834112,12298579968,15032385536,45056000,49037312,45195264,46972928,45137920,46981120,45182976,49700864
1788153902,4534968320,95834112,12351545344,15032385536,45334528,49037312,45207552,46972928,45191168,46981120,45195264,49700864
1788153904,4485062656,95834112,12431413248,15032385536,45142016,49037312,45121536,46972928,45125632,46981120,45203456,49700864
1788153906,4182499328,95834112,12807000064,15032385536,45187072,49037312,45158400,46972928,45137920,46981120,45129728,49700864
1788153908,4089970688,95834112,12881440768,15032385536,45215744,49037312,45330432,46972928,45187072,46981120,45187072,49700864
1788153911,4053164032,95834112,12968742912,15032385536,45252608,49037312,45391872,46972928,45137920,46981120,45187072,49700864
1788153913,3926728704,95834112,12952498176,15032385536,45182976,49037312,45199360,46972928,45125632,46981120,45133824,49700864
