epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788153318,4692836352,0,12793438208,13953400832,45174784,46653440,45113344,46342144,45142016,46628864,45170688,46673920
1788153320,2356449280,274432,15022149632,15032385536,45154304,46723072,45187072,46612480,45146112,46628864,45182976,46673920
1788153322,3137708032,274432,14004805632,15032385536,45182976,46723072,45289472,46710784,45137920,46628864,45199360,46673920
1788153324,4172996608,274432,12506333184,15032385536,45207552,46723072,45125632,46710784,45195264,46628864,45273088,46673920
1788153327,4282187776,274432,12506279936,15032385536,45182976,46723072,45297664,46870528,45191168,46755840,45297664,46698496
1788153329,4388655104,274432,12506537984,15032385536,45137920,46723072,45133824,46870528,45191168,46755840,45154304,46915584
1788153331,4379668480,274432,12506382336,15032385536,45178880,46723072,45146112,46870528,45158400,46755840,45121536,46915584
1788153333,4384956416,274432,12506619904,15032385536,45182976,46723072,45289472,46870528,45289472,46985216,45260800,46915584
1788153335,4370186240,274432,12614529024,15032385536,45240320,46723072,45178880,46870528,45187072,46985216,45121536,46915584
1788153338,4394332160,274432,12506284032,15032385536,45330432,46796800,45268992,46870528,45318144,46985216,45178880,46915584
1788153340,4338868224,274432,12506292224,15032385536,45187072,46796800,45125632,46870528,45223936,46985216,45113344,46915584
1788153342,4440166400,274432,12588503040,15032385536,45314048,46927872,45182976,46870528,45219840,46985216,45142016,46915584
1788153344,4368723968,274432,12506333184,15032385536,45178880,46927872,45129728,46870528,45195264,46985216,45182976,46915584
1788153347,4365004800,274432,12506288128,15032385536,45338624,46927872,45182976,46870528,45182976,46985216,45236224,46915584
1788153349,4441092096,274432,12506607616,15032385536,45137920,46927872,45137920,46870528,45166592,46985216,45129728,46915584
1788153351,4408582144,274432,12542021632,15032385536,45178880,46927872,45137920,46870528,45281280,46985216,45363200,46915584
1788153353,4434149376,274432,12506415104,15032385536,45166592,46927872,45187072,46870528,45191168,46985216,45129728,46915584
1788153355,4433346560,274432,12588371968,15032385536,45154304,46981120,45256704,46870528,45195264,46985216,45125632,46915584
1788153358,4446543872,274432,12521160704,15032385536,45191168,46981120,45260800,46870528,45191168,46985216,45174784,46915584
1788153360,4383522816,274432,12506542080,15032385536,45182976,46981120,45182976,46870528,45199360,46985216,45174784,46915584
1788153362,4363923456,274432,12506431488,15032385536,45191168,46981120,45178880,46870528,45199360,46985216,45244416,46915584
1788153363,4447412224,274432,12506427392,15032385536,45260800,46981120,45129728,46870528,45203456,46985216,45113344,46915584
1788153365,4492906496,274432,12507344896,15032385536,45133824,46981120,45174784,46870528,45133824,46985216,45113344,46915584
1788153368,4494422016,274432,12507222016,15032385536,45187072,46981120,45187072,46891008,45182976,46985216,45113344,46915584
